"CR001","C00001","01-15-2023","01-15-2025"
"CR002","C00002","02-20-2023","02-20-2025"
"CR003","C00003","03-10-2023","03-10-2025"
"CR004","C00004","04-05-2023","04-05-2025"
"CR005","C00005","05-12-2023","05-12-2025"
"CR006","C00006","06-18-2023","06-18-2025"
"CR007","C00007","07-22-2023","07-22-2025"
"CR008","C00008","08-30-2023","08-30-2025"
"CR009","C00009","09-14-2023","09-14-2025"
"CR010","C00010","10-01-2023","10-01-2025"
"CR011","C00011","11-05-2023","11-05-2025"
"CR012","C00012","12-15-2023","12-15-2025"
"CR013","C00013","01-25-2024","01-25-2026"
"CR014","C00014","02-14-2024","02-14-2026"
"CR015","C00015","03-03-2024","03-03-2026"
"CR016","C00016","04-22-2024","04-22-2026"
"CR017","C00017","05-11-2024","05-11-2026"
"CR018","C00018","06-09-2024","06-09-2026"
"CR019","C00019","07-17-2024","07-17-2026"
"CR020","C00020","08-08-2024","08-08-2026"
"CR021","C00021","09-19-2024","09-19-2026"
"CR022","C00022","10-31-2024","10-31-2026"
"CR023","C00023","11-12-2024","11-12-2026"
"CR024","C00024","12-24-2024","12-24-2026"
"CR025","C00025","01-05-2025","01-05-2027"
"CR026","C00026","02-28-2025","02-28-2027"
"CR027","C00027","03-15-2025","03-15-2027"
"CR028","C00028","04-01-2025","04-01-2027"
"CR029","C00029","05-20-2025","05-20-2027"
"CR030","C00030","06-10-2025","06-10-2027"
