"CLI00001","Sub00042","(+679) 123-4567","TechNova Solutions","Technology","1 Victoria Parade, Suva","CO00087"
"CLI00002","Sub00015","(+679) 234-5678","Global Finance Corp","Financial Services","12 Pratt St, Suva","CO00023"
"CLI00003","Sub00073","(+679) 345-6789","MediCare Health","Healthcare","145 Brown St, Suva","CO00095"
"CLI00004","Sub00028","(+679) 456-7890","EduFuture Academy","Education","22 Gordon St, Suva","CO00014"
"CLI00005","Sub00091","(+679) 567-8901","GreenEarth Energy","Energy","8 McGregor Rd, Suva","CO00066"
"CLI00006","Sub00034","(+679) 678-9012","AutoMotive Pro","Automotive","44 Carnavon St, Suva","CO00042"
"CLI00007","Sub00057","(+679) 789-0123","RetailHub Stores","Retail","TappooCity, Laucala Bay Rd, Suva","CO00051"
"CLI00008","Sub00086","(+679) 890-1234","AeroSpace Dynamics","Aerospace","Nausori Airport Rd, Nausori","CO00099"
"CLI00009","Sub00019","(+679) 901-2345","LegalShield Partners","Legal Services","1 Loftus St, Suva","CO00037"
"CLI00010","Sub00064","(+679) 012-3456","FoodFarms International","Agriculture","Sigatoka Valley Rd, Sigatoka","CO00072"
"CLI00011","Sub00003","(+679) 112-2334","TeleConnect Networks","Telecommunications","3 Waimanu Rd, Suva","CO00005"
"CLI00012","Sub00077","(+679) 223-3445","ConstructPlus Builders","Construction","Lautoka Wharf, Lautoka","CO00081"
"CLI00013","Sub00031","(+679) 334-4556","PharmaCare Labs","Pharmaceuticals","149 Rodwell Rd, Suva","CO00029"
"CLI00014","Sub00052","(+679) 445-5667","Oceanic Shipping","Logistics","Kings Wharf, Suva","CO00063"
"CLI00015","Sub00095","(+679) 556-6778","EntertainMedia Co","Media & Entertainment","22 Bau St, Suva","CO00012"
"CLI00016","Sub00021","(+679) 667-7889","SecureNet Systems","Cybersecurity","8 Ratu Sukuna Rd, Suva","CO00019"
"CLI00017","Sub00068","(+679) 778-8990","FashionForward Apparel","Fashion","Tappoo Plaza, Lautoka","CO00055"
"CLI00018","Sub00039","(+679) 889-9001","Mineral Resources","Mining","Vatukoula Gold Mine, Tavua","CO00032"
"CLI00019","Sub00084","(+679) 990-0112","TourismParadise","Hospitality","Denarau Island, Nadi","CO00077"
"CLI00020","Sub00007","(+679) 001-1223","BioGen Research","Biotechnology","USP Campus, Laucala Bay","CO00008"
"CLI00021","Sub00053","(+679) 121-2345","SmartHome Tech","Consumer Electronics","Damodar City, Suva","CO00060"
"CLI00022","Sub00026","(+679) 232-3456","National Defense Co","Defense","Queen Elizabeth Barracks, Suva","CO00021"
"CLI00023","Sub00071","(+679) 343-4567","EcoWater Solutions","Environmental Services","2 Marine Drive, Suva","CO00084"
"CLI00024","Sub00014","(+679) 454-5678","DataMine Analytics","Big Data","FNU Nasinu Campus, Nasinu","CO00029"
"CLI00025","Sub00097","(+679) 565-6789","PetCare Centers","Veterinary Services","8 Fletcher Rd, Suva","CO00015"
"CLI00026","Sub00035","(+679) 676-7890","SportLife Equipment","Sports & Fitness","ANZ Stadium, Suva","CO00043"
"CLI00027","Sub00062","(+679) 787-8901","AdvertisePlus","Marketing & Advertising","12 Cumming St, Suva","CO00070"
"CLI00028","Sub00009","(+679) 898-9012","SpaceExploration Inc","Space Technology","Fiji National University, Suva","CO00010"
"CLI00029","Sub00048","(+679) 909-0123","ChildLearn Systems","EdTech","11 Knollys St, Suva","CO00058"
"CLI00030","Sub00083","(+679) 010-1234","SeniorCare Homes","Senior Living","Samabula, Suva","CO00076"
"CLI00031","Sub00022","(+679) 131-2345","Quantum Computing Co","Advanced Computing","USP ICT Center, Suva","CO00020"
"CLI00032","Sub00059","(+679) 242-3456","Artisan Craftsmen","Arts & Crafts","Handicraft Center, Nadi","CO00067"
"CLI00033","Sub00096","(+679) 353-4567","VoiceFirst Technologies","Voice Recognition","14 Waimanu Rd, Suva","CO00013"
"CLI00034","Sub00041","(+679) 464-5678","Precision Instruments","Manufacturing","Lautoka Industrial Area","CO00050"
"CLI00035","Sub00078","(+679) 575-6789","Urban Development","Real Estate","Suva Central, Suva","CO00082"
"CLI00036","Sub00017","(+679) 686-7890","WildNature Conservation","Non-Profit","Colo-i-Suva Forest Park","CO00018"
"CLI00037","Sub00054","(+679) 797-8901","DroneDelivery Express","Delivery Services","Nadi Airport Complex","CO00061"
"CLI00038","Sub00031","(+679) 808-9012","VirtualReality Worlds","VR/AR Technology","FJCC Complex, Suva","CO00030"
"CLI00039","Sub00088","(+679) 919-0123","LuxuryAuto Group","Automotive Luxury","1 Vuna Rd, Suva","CO00090"
"CLI00040","Sub00005","(+679) 020-1234","BlockChain Partners","FinTech","Reserve Bank Bldg, Suva","CO00006"
"CLI00041","Sub00072","(+679) 141-2345","AI Innovations","Artificial Intelligence","FNU ICT Campus, Suva","CO00085"
"CLI00042","Sub00029","(+679) 252-3456","MusicMasters Inc","Music Production","Suva Civic Auditorium","CO00027"
"CLI00043","Sub00066","(+679) 363-4567","CyberDefense Inc","Information Security","PFNET HQ, Suva","CO00074"
"CLI00044","Sub00013","(+679) 474-5678","FutureRobotics","Robotics","FNU Engineering Campus, Lautoka","CO00016"
"CLI00045","Sub00090","(+679) 585-6789","OrganicHarvest","Organic Food","Pacific Harbour Farmers Market","CO00092"
"CLI00046","Sub00037","(+679) 696-7890","MarineBiology Institute","Marine Science","USP Marine Campus, Suva","CO00045"
"CLI00047","Sub00064","(+679) 707-8901","3DPrint Solutions","Additive Manufacturing","Lautoka Technical College","CO00071"
"CLI00048","Sub00002","(+679) 818-9012","Nanotech Pioneers","Nanotechnology","FNU Science Campus, Suva","CO00003"
"CLI00049","Sub00049","(+679) 929-0123","FinancialPlanning Plus","Wealth Management","HFC Bank Bldg, Suva","CO00059"
"CLI00050","Sub00085","(+679) 030-1234","LanguageLearners","E-Learning","USP Centre, Lautoka","CO00078"
